USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
723280,3894,OUTLAW FIELD AIRPORT,US,TN,KCKV,36.617,-87.412,167.7,20050101,20231024
723284,93839,MILLINGTON MUNICIPAL AIRPORT,US,TN,KNQA,35.35,-89.867,97.5,20050101,20231024
723290,3849,CAPE GIRARDEAU RGNL,US,MO,KLOZ,37.087,-84.077,369.1,19730101,19850531
723290,3935,CAPE GIRARDEAU RGNL ARPT,US,MO,KCGI,37.225,-89.579,101.8,20100801,20231024
723291,3849,LONDON-CORBIN AP,US,KY,KLOZ,37.087,-84.077,369.1,19850531,19900206
723293,3849,LONDON-CORBIN AP,US,KY,KLOZ,37.087,-84.077,369.1,19900208,19910220
723300,3975,POPLAR BUFF MUNICIAL ARPT,US,MO,KPOF,36.77,-90.322,99.6,20060101,20231024
723301,93862,TUPELO C D LEMONS ARPT,US,MS,KTUP,34.262,-88.771,110,19730101,19900228
723303,93862,TUPELO C D LEMONS ARPT,US,MS,KTUP,34.262,-88.771,110,19900208,19910228
723306,13825,COLUMBUS AFB AIRPORT,US,MS,KCBM,33.65,-88.45,66.8,19420301,20231024
723307,53893,GOLDEN TRIANGLE RGNL APT,US,MS,KGTR,33.45,-88.583,80.5,20060101,20231024
723320,93862,TUPELO REGIONAL AIRPORT,US,MS,KTUP,34.262,-88.771,103.8,19910301,20231024
723340,13893,MEMPHIS INTERNATIONAL AIRPORT,US,TN,KMEM,35.056,-89.986,76.6,19461001,20231024
723345,93839,MEMPHIS NAS,US,TN,KNQA,35.35,-89.867,97.5,19730101,19960429
723346,3811,MCKELLAR-SIPES RGNL ARPT,US,TN,KMKL,35.593,-88.917,129.2,19730101,20231024
723347,3809,DYERSBURG MUNICIPAL ARPT,US,TN,KDYR,36,-89.409,91.4,19430412,20231024
723350,13877,TRI-CITIES REGIONAL TN/VA AIRPORT,US,TN,KTRI,36.48,-82.399,455.9,20050101,20231024
723400,3952,NORTH LITTLE ROCK AIRPORT,US,AR,KLZK,34.835,-92.26,171.6,20060101,20231023
723401,13963,LITTLE ROCK ADAMS FIELD,US,AR,KLIT,34.727,-92.239,78.3,19750101,19900228
723403,13963,ADAMS FIELD AIRPORT,US,AR,KLIT,34.727,-92.236,76.4,19900228,20231024
723405,3930,LITTLE ROCK AFB AIRPORT,US,AR,KLRF,34.917,-92.15,94.8,19560101,20231024
723406,93991,WALNUT RIDGE REGIONAL ARPT,US,AR,KARG,36.125,-90.924,83.2,20050101,20231024
723407,3953,JONESBORO MUNICIPAL ARPT,US,AR,KJBR,35.836,-90.644,78.9,20060101,20231024
723408,13814,ARKANSAS INTERNATIONAL AIRPORT,US,AR,KBYH,35.967,-89.95,77.4,19420901,20231002
723409,53869,BLYTHEVILLE MUNI AIRPORT,US,AR,KHKA,35.938,-89.833,77.6,20060101,20231024
723415,3962,MEMORIAL FIELD AIRPORT,US,AR,KHOT,34.476,-93.104,154,20060101,20231024
723416,13925,STUTTGART MUNICIPAL ARPT,US,AR,KSGT,34.6,-91.574,68.3,20060101,20231025
723417,93988,GRIDER FIELD AIRPORT,US,AR,KPBF,34.18,-91.934,62.1,19730101,20231024
723418,13977,TEXARKANA REGIONAL AIRPORT-WEBB FIELD,US,AR,KTXK,33.456,-93.988,115.8,19460729,20231024
723419,93992,S. AR RGNL AT GDWIN FLD AP,US,AR,KELD,33.221,-92.814,78,19730101,20231024
723424,53919,MONTICELLO MUNI,US,AR,KLLQ,33.636,-91.756,82.3,20050101,20091231
723425,373,HARRELL FIELD AIRPORT,US,AR,KCDH,33.617,-92.767,40.2,20070501,20231025
723429,53920,MUNICIPAL AIRPORT,US,AR,KRUE,35.257,-93.095,115.7,20060101,20231024
723434,3973,SPRINGDALE MUNICIPAL ARPT,US,AR,KASG,36.176,-94.119,412.4,20060101,20231024
723435,53921,MOUNT IDA,US,AR,KMWT,34.547,-93.578,214,20050101,20231024
723436,53922,NW ARKANSAS REGIONAL ARPT,US,AR,KXNA,36.29,-94.312,389.6,20060101,20231025
723439,53918,OZARK REGIONAL AIRPORT,US,AR,KBPK,36.371,-92.472,281.1,20060101,20231024
723440,13964,FORT SMITH REGIONAL AIRPORT,US,AR,KFSM,35.333,-94.365,136.7,19470101,20231024
723441,54921,ALBION MUNICIPAL AIRPORT,US,NE,KBVN,41.73,-98.054,548.3,20060101,20231024
723443,53955,SMITH FIELD AIRPORT,US,AR,KSLG,36.191,-94.491,363.6,20060101,20231025
723444,3978,BENTONVILLE MUNI/LOUIS M THADEN FIELD AIRPORT,US,AR,KVBT,36.35,-94.217,395,20060101,20231025
723445,93993,DRAKE FIELD AIRPORT,US,AR,KFYV,36.01,-94.168,377.1,19730101,20231025
723446,13971,BOONE CO,US,AR,KHRO,36.267,-93.157,422.1,19460801,19971231
723447,3918,MARION COUNTY RGNL AIRPORT,US,AR,KFLP,36.291,-92.59,219.2,20050101,20231024
723448,53934,BATESVILLE REGIONAL ARPT,US,AR,KBVX,35.726,-91.647,141.1,20060101,20231024
723449,53954,ROGERS MUNI-CARTER FLD APT,US,AR,KROG,36.372,-94.107,412.4,20060101,20231025
723450,13971,BOONE COUNTY AIRPORT,US,AR,KHRO,36.267,-93.157,418,20050101,20231024
723484,53901,WEST PLAINS MUNICIPAL ARPT,US,MO,KUNO,36.879,-91.905,373.6,20060101,20231025
723489,3935,CAPE GIRARDEAU RGNL,US,MO,KCGI,37.225,-89.571,107.3,19730101,19971231
723495,13987,JOPLIN REGIONAL AIRPORT,US,MO,KJLN,37.152,-94.495,296.4,19730101,20231024
723510,13966,SHEPPARD AFB/WICHITA FALLS MUNI AP,US,TX,KSPS,33.979,-98.493,308.6,19420413,20231025
723520,13902,ALTUS AFB AIRPORT,US,OK,KLTS,34.65,-99.267,421.2,19430201,20231025
723525,93986,HOBART MUNICIPAL AIRPORT,US,OK,KHBR,34.989,-99.053,473.4,19730101,20231025
723526,3932,CLINTON-SHERMAN AIRPORT,US,OK,KCSM,35.357,-99.204,584.7,20060101,20231024
723527,13975,GAGE/SHATTUCK,US,OK,KGAG,36.297,-99.769,671.2,19460801,19971231
723528,3981,FREDERICK MUNICIPAL AIRPT,US,OK,KFDR,34.353,-98.988,378.2,20060101,20231025
723529,53929,ARDMORE DOWNTOWN EXE,US,OK,K1F0,34.147,-97.123,257.3,20060101,20130430
723530,13967,WILL ROGERS WORLD AIRPORT,US,OK,KOKC,35.388,-97.6,389.9,19411214,20231025
723535,13909,VANCE AIR FORCE BASE,US,OK,KEND,36.333,-97.917,398.1,20060103,20231024
723536,53986,ENID WOODRING REGIONAL AIRPORT,US,OK,KWDG,36.383,-97.8,355.7,20060101,20231024
723537,53913,GUTHRIE MUNICIPAL AIRPORT,US,OK,KGOK,35.852,-97.414,324.6,20060101,20231025
723540,13919,TINKER AFB AIRPORT,US,OK,KTIK,35.417,-97.383,393.5,19421214,20231025
723544,3954,WILEY POST AIRPORT,US,OK,KPWA,35.541,-97.647,390.2,20060101,20231025
723545,3965,STILLWATER REGIONAL ARPT,US,OK,KSWO,36.162,-97.089,292.9,20060101,20231025
723546,13969,PONCA CITY MUNI,US,OK,KPNC,36.737,-97.102,304.2,19460801,19971231
723550,13945,HENRY POST AAF AIRPORT,US,OK,KFSI,34.65,-98.4,362.4,19390901,20231025
